0xffa3bcac,GetFocusLensHoldVoltage_FW
0xffa4694c,GetFocusLensLoadCamTable_FW
0xffa468e0,GetFocusLensLoadSubjectDistance_FW
0xffa46a38,GetFocusLensMoveMaxPosition_FW
0xffa46a50,GetFocusLensMoveMinPosition_FW
0xffa468d8,GetFocusLensPositionRatio_FW
0xff92f0f0,GetFocusLensPullInMaxSpeed_FW
0xffa3af40,GetFocusLensResetDefaultPosition_FW
0xffa3af30,GetFocusLensResetPosition_FW
0xffac6058,GetFocusLensResetVoltage_FW
0xffa3bc60,GetFocusLensSettingWaitVoltage_FW
0xff92f474,GetFocusLensSubjectDistance
0xffa468b4,GetFocusLensSubjectDistance_FW
0xff92f85c,GetFocusLensSubjectDistanceFromLens
0xffa468d0,GetFocusLensSubjectDistanceNumber_FW
0xff930bd4,GetFocusPiSensorLevel_FW
0xff92f8d8,GetFocusResetPosition_FW
0xff85f63c,GetFocusStartZoomPosition_FW
0xff8604bc,GetGyro10BitDACPitch_FW
0xff8604c4,GetGyro10BitDACYaw_FW
0xff860494,GetGyroDataPitch_FW
0xff86049c,GetGyroDataYaw_FW
0xff8604ec,GetGyroHPFINOffsetPitch_FW
0xff860504,GetGyroHPFINOffsetYaw_FW
0xff86051c,GetGyroHPFINPitch_FW
0xff860578,GetGyroHPFINYaw_FW
0xffaaec18,GetHour_FW
0xff9303b0,GetIrisAv_FW
0xffa472c4,GetISDriveAaxis_FW
0xffa472e4,GetISDriveBaxis_FW
0xffa475a8,GetISFirmVersion_FW
0xff8604bc,GetISGyro10BitDACPitch_FW
0xff8604c4,GetISGyro10BitDACYaw_FW
0xff860494,GetISGyroDataPitch_FW
0xff86049c,GetISGyroDataYaw_FW
0xffa473c4,GetISGyroGainAaxis_FW
0xffa473e4,GetISGyroGainBaxis_FW
0xff8604ec,GetISGyroHPFINOffsetPitch_FW
0xff860504,GetISGyroHPFINOffsetYaw_FW
0xff86051c,GetISGyroHPFINPitch_FW
0xff860578,GetISGyroHPFINYaw_FW
0xff8603e4,GetISGyroPitchGain_FW
0xffab009c,GetISGyroPitchOffset_FW
0xff8603ec,GetISGyroYawGain_FW
0xffab0094,GetISGyroYawOffset_FW
0xff8603d4,GetISHallDevicePitchGain_FW
