0xffc467d4,IsCCDTemperature_FW
0xffe05738,ISChangeOPENtoCLOSE_FW
0xffc6fc28,IsControlEventActive_FW
0xffe05b7c,ISControlStart_FW
0xffe05b8c,ISControlStop_FW
0xffc25224,IsDUIDFixFlag_FW
0xffe620e8,IsEVFDrive_FW
0xffe62418,IsEvfDriveMode_FW
0xffe61490,IsExStrobeChargeComp_FW
0xffc251e4,IsFactoryMode_FW
0xffd0c128,IsFocusLensOutSidePosition_FW
0xffc23cd0,IsHvSensorExist_FW
0xffc58708,ISInitMotion_FW
0xffc57fcc,IsLensOutside_FW
0xffcef6a0,IsLogOutType_FW
0xffe05d68,ISMDStart_FW
0xffe05d78,ISMDStop_FW
0xffe05724,ISMoveToMechaEdgeOPEN_FW
0xffc2526c,IsNormalCameraMode_FW
0xffc467a0,IsOpticalTemperature_FW
0xffe05b9c,ISPanModeStart_FW
0xffe05bac,ISPanModeStop_FW
0xffcaac20,IsStrobeChargeCompleted
0xffdfe3fc,IsZoomActuatorResetSensorPlusSide_FW
0xffd10168,IsZoomLensOutSidePosition_FW
0xffd13d60,j_BeepDrive_FW
0xffd13d64,j_BeepDriveComp_FW
0xffe5c8a0,j_CancelImageDrive_FW
0xffe661ac,j_CancelLoopGainCalc_FW
0xffe65eac,j_ChangeToISCloseControl_FW
0xffe65e7c,j_ClearISCalcZData_FW
0xffe5e3e0,j_ClearZoomDriveParam_FW
0xffcb26d0,j_E2LatOn_FW
0xffdac2ac,j_EF.IsChargeFull_FW
0xffd141b0,j_exec_FW
0xffc26830,j_ExMem.AllocCacheable_FW
0xffc26828,j_ExMem.AllocUncacheable_FW
0xffc26834,j_ExMem.FreeCacheable_FW
0xffc2682c,j_ExMem.FreeUncacheable_FW
0xffc26824,j_ExMem.View_FW
0xffd13d5c,j_GetAdChValue_FW
0xffd13d58,j_GetAdVBattBottom_FW
0xffcedda0,j_GetAEIntegWinData_FW
0xffd13de0,j_GetBatteryCoverClose_FW
0xffc46860,j_GetBatteryTemperature_FW
0xffddff80,j_GetCameraInformationData_FW
0xffc4685c,j_GetCCDTemperature_FW
0xffe5c688,j_GetCdsPreGain_FW
0xffe5c6e0,j_GetCdsPreGainReg_FW
0xffe5cd5c,j_GetCurrentAvValue_FW
0xffe5cb50,j_GetCurrentExposureTime_FW
0xffe5ede0,j_GetCurrentFocusLensPosition_FW
0xffe5ede0,j_GetCurrentFocusPosition_FW
0xffe5cb58,j_GetCurrentShutterSpeed_FW
0xffe5ed88,j_GetCurrentTargetDistance_FW
0xffe5e1c8,j_GetCurrentZoomLensPoint_FW
0xffe5e1c4,j_GetCurrentZoomLensPosition_FW
0xffe5e1c8,j_GetCurrentZoomPoint_FW
0xffe5e1c4,j_GetCurrentZoomPosition_FW
0xffe641a0,j_GetDCPAdjOffset_FW
0xffd13ddc,j_GetDialEventId_FW
0xffe5ed80,j_GetFocusDefaultResetPosition_FW
0xffe04dc4,j_GetFocusLensCurrentPosition_FW
0xffe04e98,j_GetFocusLensDriveVoltage_FW
0xffe04f10,j_GetFocusLensHoldVoltage_FW
0xffe04f80,j_GetFocusLensPullInMaxSpeed_FW
0xffe04dcc,j_GetFocusLensResetDefaultPosition_FW
0xffe04dc8,j_GetFocusLensResetPosition_FW
0xffe04f4c,j_GetFocusLensResetVoltage_FW
0xffe04ed4,j_GetFocusLensSettingWaitVoltage_FW
0xffe05190,j_GetFocusPiSensorLevel_FW
0xffe5ed84,j_GetFocusResetPosition_FW
0xffe05130,j_GetFocusStartZoomPosition_FW
0xffe05958,j_GetGyro10BitDACPitch_FW
