0xffdc1d64,j_GetFocusLensDriveVoltage_FW
0xffdc1ddc,j_GetFocusLensHoldVoltage_FW
0xffdc1e4c,j_GetFocusLensPullInMaxSpeed_FW
0xffdc1c9c,j_GetFocusLensResetDefaultPosition_FW
0xffdc1c98,j_GetFocusLensResetPosition_FW
0xffdc1e18,j_GetFocusLensResetVoltage_FW
0xffdc1da0,j_GetFocusLensSettingWaitVoltage_FW
0xffdc205c,j_GetFocusPiSensorLevel_FW
0xffe03cf8,j_GetFocusResetPosition_FW
0xffdc1ffc,j_GetFocusStartZoomPosition_FW
0xffdc1f18,j_GetIrisAv_FW
0xffdc1ff8,j_GetLensErrorStatus_FW
0xffdc2248,j_GetMechaShutterStatus_FW
0xffe07eb4,j_GetMovieJpegVRAMHPixelsSize_FW
0xffe07eb8,j_GetMovieJpegVRAMVPixelsSize_FW
0xffc2eb34,j_GetOpticalTemperature_FW
0xffce5c70,j_GetSDDetect_FW
0xffce5c74,j_GetSDProtect_FW
0xffce5c5c,j_GetSwitchStatus_FW
0xffe08f5c,j_GetVBatVoltage_FW
0xffe075f8,j_GetVRAMHPixelsSize_FW
0xffe075fc,j_GetVRAMVPixelsSize_FW
0xffdbbfc8,j_GetZoomActuatorCurrentPosition_FW
0xffe03268,j_GetZoomDrivingTime_FW
0xffdc258c,j_GetZoomLensCurrentPoint_FW
0xffdc25b4,j_GetZoomLensCurrentPosition_FW
0xffdc25bc,j_GetZoomLensMechaEdgePosition_FW
0xffdc25b8,j_GetZoomLensTelePoint_FW
0xffdc2080,j_GetZoomPiSensorLevel_FW
0xffe03228,j_GetZoomResetSensorLevel_FW
0xffe03224,j_GetZoomTelePoint_FW
0xffc2eb48,j_IsBatteryTemperature_FW
0xffc2eb44,j_IsCCDTemperature_FW
0xffe042dc,j_IsFocusLensOutSidePosition_FW
0xffdc1ff4,j_IsLensOutside_FW
0xffc2eb40,j_IsOpticalTemperature_FW
0xffdbbfcc,j_IsZoomActuatorResetSensorPlusSide_FW
0xffe034b4,j_IsZoomLensOutSidePosition_FW
0xffce5c18,j_LEDDrive_FW
0xffd84a14,j_LiveImageTool.GetDzoomPosition_FW
0xffc13434,j_Lseek_FW
0xffce5ee8,j_MemoryChecker_FW
0xffce5ee4,j_MonSelEvent_FW
0xffc13974,j_NewTaskShell_FW
0xffc4f2b8,j_OpLog.WriteToROM_FW
0xffce5f5c,j_Peek16_FW
0xffce5f58,j_Peek32_FW
0xffce5f60,j_Peek8_FW
0xffce5ee0,j_Printf_FW
0xffc556d0,j_PTM_AllReset_FW
0xffc55ca8,j_PTM_BackupUIProperty_FW
0xffc55bfc,j_PTM_GetWorkingCaptureMode_FW
0xffc55c8c,j_PTM_IsEnableItem_FW
0xffc55c78,j_PTM_NextItem_FW
0xffc55c7c,j_PTM_PrevItem_FW
0xffc55c00,j_PTM_SetCurrentItem_FW
0xffc55c90,j_PTM_SetProprietyEnable_FW
0xffc1390c,j_PutsCameraLogEvent_FW
0xffc132d4,j_Read_FW
0xffe01824,j_ReloadCdsAdjustment_FW
0xffe065a8,j_ReloadColorAdjustment_FW
0xffe06448,j_ReloadEfAdjustment_FW
0xffe03cf0,j_ReloadFocusLensAdjustment_FW
0xffe01c9c,j_ReloadIrisAdjustment_FW
0xffe01df4,j_ReloadNdFilterAdjustment_FW
0xffe02b98,j_ReloadWBAdjustment_FW
0xffe030e4,j_ReloadZoomAdjustment_FW
0xffce5f00,j_SDump_FW
0xffe04314,j_SetFocusResetState_FW
0xffe034cc,j_SetZoomResetState_FW
0xffc13900,j_ShowCameraLog_FW
0xffc13904,j_ShowCameraLogInfo_FW
0xffc138fc,j_StartCameraLog_FW
0xffc13908,j_StopCameraLog_FW
0xffe07600,j_StopContinuousVRAMData_FW
0xffc0d94c,j_strcmp_FW
0xffce6d00,j_UIFS_Capture_FW
0xffce6d04,j_UIFS_CaptureNoneStop_FW
0xffce6c5c,j_UIFS_MoveZoomTo_FW
0xffce6d08,j_UIFS_StartMovieRecord_FW
0xffce6d0c,j_UIFS_StopMovieRecord_FW
0xffce6d24,j_UIFS_WriteFirmInfoToFile_FW
0xffce5c14,j_VbattGet_FW
0xffce5eec,j_VerifyByte_FW
0xffc113dc,kbd_p1_f
0xffc113e8,kbd_p1_f_cont
0xffc10ca0,kbd_p2_f
0xffc11360,kbd_read_keys
0xffc1138c,kbd_read_keys_r2,(stubs_entry_2.s)
0xffca53fc,LcdCon_GetLcdAdjParameter_FW
0xffca57cc,LcdCon_GetLcdBackLightParameter_FW
0xffca55f4,LcdCon_GetLcdParameter_FW
0xffca5484,LcdCon_SaveLcdAdjParameter_FW
0xffca5850,LcdCon_SaveLcdBackLightParameter_FW
0xffca567c,LcdCon_SaveLcdParameter_FW
0xffca5374,LcdCon_SetLcdAdjParameter_FW
0xffca5744,LcdCon_SetLcdBackLightBrightness_FW
0xffca5774,LcdCon_SetLcdBackLightParameter_FW
0xffca5334,LcdCon_SetLcdDriver_FW
0xffca54a0,LcdCon_SetLcdParameter_FW
0xffca5444,LcdCon_ShowLcdAdjParameter_FW
0xffca5810,LcdCon_ShowLcdBackLightParameter_FW
0xffca563c,LcdCon_ShowLcdParameter_FW
0xffc28e50,LcdCon_StartLcdPeriodicalSetting_FW
0xffc28e60,LcdCon_StopLcdPeriodicalSetting_FW
0xffde131c,LCDMsg_ChangeColor_FW
0xffde1144,LCDMsg_Create_FW
0xffde0e58,LCDMsg_Delete_FW
0xffde0e18,LCDMsg_Move_FW
0xffde1244,LCDMsg_SetNum_FW
0xffde1254,LCDMsg_SetStr_FW
0xffde11f4,LCDMsg_SwDisp_FW
0xffc2c020,LEDDrive
0xffc2c020,LEDDrive_FW
0xffd849a4,LiveImageTool.ChangeDzoom_FW
0xffd84934,LiveImageTool.DzoomTele_FW
0xffd84954,LiveImageTool.DzoomWide_FW
0xffc8a900,LiveImageTool.GetDzoomPosition_FW
0xffd84a18,LiveImageTool.Jump_FW
0xffd84984,LiveImageTool.Pause_FW
0xffd84994,LiveImageTool.Resume_FW
0xffd842e4,LiveImageTool.StartEVF_FW
0xffd84360,LiveImageTool.StartEVFFocusJet_FW
