0xffcd6334,DeviceUniqueIDCheckSum_FW
0xffcd657c,PrintFirmVersion_FW
0xffcd65b0,PrintFaexeVersioin_FW
0xffcd65c0,CreateFADBGSingalID_FW
0xffcd65d0,FADBGSingal_FW
0xffcd667c,FADBGPrintf_FW
0xffcd67fc,FAPrintf_FW
0xffcd684c,OutputLogToFile_FW
0xffcd694c,StopLogOut_FW
0xffcd6aac,GetLogData_FW
0xffcd6b64,GetLogDataOnlyAddMemory_FW
0xffcd6bcc,ActivateAdjLog_FW
0xffcd6be0,InactivateAdjLog_FW
0xffcd6bf4,StartLogOut_FW
0xffcd6c0c,IsLogOutType_FW
0xffcd8c9c,SetDefaultRecParameter_FW
0xffcd8fc8,SetSensitiveDefectRecParameter_FW
0xffcd8fd8,SetSensitiveRecParameter_FW
0xffcd8fe4,SetDefectRecParameter_FW
0xffcd9298,EnableDebugLogMode_FW
0xffcd92ac,DisableDebugLogMode_FW
0xffcdfe0c,task_FolderCreateCheckTask
0xffce0590,task_MetaCtg
0xffce6e3c,task_DPOFTask
0xffceece0,task_FORMAT_TASK_PROGRESS
0xffceede0,task_FORMAT_TASK_NAME
0xffcf9440,WriteSDCard
0xffcfc764,task_ImgTrim
0xffcfe580,task_RedEyePly
0xffd0195c,task_CZ
0xffd02e1c,GetFocusLensSubjectDistance
0xffd03128,GetFocusLensSubjectDistanceFromLens
0xffd03d24,GetCurrentAvValue
0xffd03d24,GetIrisAv_FW
0xffd04500,GetZoomPiSensorLevel_FW
0xffd04548,GetFocusPiSensorLevel_FW
0xffd04bd8,GetMechaShutterStatus_FW
0xffd06ab8,GetZoomLensCurrentPosition_FW
0xffd06ae0,GetZoomLensCurrentPoint
0xffd06ae0,GetZoomLensCurrentPoint_FW
0xffd06e9c,GetZoomLensTelePoint_FW
0xffd07444,GetZoomLensMechaEdgePosition_FW
0xffd0847c,task_AviWrite
0xffd09e58,MechaUnRegisterEventProcedure_FW
0xffd09e94,Mecha.Create_FW
0xffd09ee8,MechaReset_FW
0xffd09ef4,MechaTerminate_FW
0xffd09f00,ShowMechaMacro_FW
0xffd09fe4,DispDev_EnableEventProc_FW
0xffd0a024,SetSDPwrPort_FW
0xffd0a050,j_GetAdVBattBottom_FW
0xffd0a054,j_GetAdChValue_FW
0xffd0a058,j_BeepDrive_FW
0xffd0a05c,j_VbattGet_FW
0xffd0a060,j_LEDDrive_FW
0xffd0a064,ShowPhySwStatus_FW
0xffd0a074,SetRawSWCheckMode_FW
0xffd0a084,OnPrintPhySw_FW
0xffd0a094,OffPrintPhySw_FW
0xffd0a0a4,j_GetSwitchStatus_FW
0xffd0a0a8,ShowSDStatus_FW
0xffd0a0b8,j_GetSDDetect_FW
0xffd0a0bc,j_GetSDProtect_FW
